entries=2233,dt=1.000000000000000e+10
i,zai,name,n_0,n_dt
0,10010,H1,1.000000000000000e+20,1.147149999999999e+21
1,10020,H2,1.000000000000000e+20,1.000000000000000e+20
2,10030,H3,1.000000000000000e+20,1.936218908804042e+12
3,20030,He3,1.000000000000000e+20,1.999999980637812e+20
4,20040,He4,1.000000000000000e+20,4.259575458082551e+22
5,20060,He6,1.000000000000000e+20,0.000000000000000e+00
6,30050,Li5,1.000000000000000e+20,0.000000000000000e+00
7,30060,Li6,1.000000000000000e+20,1.999999999999994e+20
8,30070,Li7,1.000000000000000e+20,2.029999999999999e+20
9,30080,Li8,1.000000000000000e+20,0.000000000000000e+00
10,30090,Li9,1.000000000000000e+20,0.000000000000000e+00
11,40060,Be6,1.000000000000000e+20,0.000000000000000e+00
12,40070,Be7,1.000000000000000e+20,5.154350487984455e-25
13,40080,Be8,1.000000000000000e+20,0.000000000000000e+00
14,40090,Be9,1.000000000000000e+20,1.504999999999999e+20
15,40100,Be10,1.000000000000000e+20,9.998627313514273e+19
16,40110,Be11,1.000000000000000e+20,0.000000000000000e+00
17,40120,Be12,1.000000000000000e+20,0.000000000000000e+00
18,40130,Be13,1.000000000000000e+20,0.000000000000000e+00
19,50080,B8,1.000000000000000e+20,0.000000000000000e+00
20,50090,B9,1.000000000000000e+20,0.000000000000000e+00
21,50100,B10,1.000000000000000e+20,3.000137268648572e+20
22,50110,B11,1.000000000000000e+20,2.969999999999994e+20
23,50120,B12,1.000000000000000e+20,0.000000000000000e+00
24,50130,B13,1.000000000000000e+20,0.000000000000000e+00
25,50140,B14,1.000000000000000e+20,0.000000000000000e+00
26,50150,B15,1.000000000000000e+20,0.000000000000000e+00
27,60090,C9,1.000000000000000e+20,0.000000000000000e+00
28,60100,C10,1.000000000000000e+20,0.000000000000000e+00
29,60110,C11,1.000000000000000e+20,5.104393216488064e-131
30,60120,C12,1.000000000000000e+20,4.955375660012871e+20
31,60130,C13,1.000000000000000e+20,3.028282900000001e+20
32,60140,C14,1.000000000000000e+20,2.825012980483900e+20
33,60150,C15,1.000000000000000e+20,0.000000000000000e+00
34,60160,C16,1.000000000000000e+20,0.000000000000000e+00
35,60170,C17,1.000000000000000e+20,0.000000000000000e+00
36,70110,N11,1.000000000000000e+20,0.000000000000000e+00
37,70120,N12,1.000000000000000e+20,0.000000000000000e+00
38,70130,N13,1.000000000000000e+20,1.350805132705383e-149
39,70140,N14,1.000000000000000e+20,3.110987019516105e+20
40,70150,N15,1.000000000000000e+20,5.039000000000001e+20
41,70160,N16,1.000000000000000e+20,7.266800663854755e-271
